country,year,sex,list,cause,cdr
USA,1993,2,short,11,488
USA,1993,2,short,12,286
USA,1993,2,short,13,72
USA,1993,2,short,14,187
USA,1993,2,short,15,111
USA,1993,2,short,16,332
USA,1994,2,short,0,8305
USA,1994,2,short,1,198
USA,1994,2,short,2,1967
USA,1994,2,short,3,34
USA,1994,2,short,4,329
USA,1994,2,short,5,121
USA,1994,2,short,6,248
USA,1994,2,short,7,2799
USA,1994,2,short,8,728
USA,1994,2,short,9,178
USA,1994,2,short,10,236
USA,1994,2,short,11,491
USA,1994,2,short,12,283
USA,1994,2,short,13,74
USA,1994,2,short,14,188
USA,1994,2,short,15,105
USA,1994,2,short,16,327
USA,1995,2,short,0,8381
USA,1995,2,short,1,206
USA,1995,2,short,2,1972
USA,1995,2,short,3,36
USA,1995,2,short,4,340
USA,1995,2,short,5,126
USA,1995,2,short,6,271
USA,1995,2,short,7,2801
USA,1995,2,short,8,747
USA,1995,2,short,9,175
USA,1995,2,short,10,238
USA,1995,2,short,11,500
USA,1995,2,short,12,278
USA,1995,2,short,13,75
USA,1995,2,short,14,189
USA,1995,2,short,15,98
USA,1995,2,short,16,330
USA,1996,2,short,0,8376
USA,1996,2,short,1,196
USA,1996,2,short,2,1956
USA,1996,2,short,3,35
USA,1996,2,short,4,346
USA,1996,2,short,5,135
USA,1996,2,short,6,286
USA,1996,2,short,7,2762
