country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1984,1,short,4,5,9671.36,5.37,22.65,15.75,22.66,61.08,142.04,292.2,528.2,489.87,533.75,476.87,569.53,669.79,676.46,647.37,689.32,815.62,1164.25,1848.58,999.48,849.1,644.35,204.75,179.41,25.34
USA,1984,1,short,4,6,16978.18,454.43,341.77,137.84,176.85,262.64,340.99,262.72,333.35,358.05,387.2,439.88,573.09,862.47,1303.99,1765.91,2324.53,2691.06,2060.9,1900.53,1280.62,619.9,494.66,125.24,105.22,20.03
USA,1984,1,short,4,7,396452.4,350.93,165.04,83.43,79.81,208.02,428.68,750.5,1572.09,3105.17,5869.6,9708.89,16743.82,28005.17,41891.27,51573.78,60671.22,61028.79,52175.43,62040.75,36124.34,25916.41,19105.95,6810.46,5823.16,987.3
USA,1984,1,short,4,8,64450.12,49.08,26.1,21.95,26.5,53.22,113.51,182.37,275.42,456.11,717.75,1050.63,1646.52,2603.66,4306.64,6394.43,9321.9,11258.71,11503.72,14441.9,8502.07,5939.83,4559.13,1380.7,1189.79,190.91
USA,1984,1,short,4,9,25458.78,20.8,6.84,3.33,2.61,15.22,36.44,71.49,87.67,157.3,231.11,321.19,566.09,1120.33,2146.28,3122.59,3907.27,4220.62,3998.91,5422.67,2940.52,2482.15,1780.16,701.99,591.33,110.66
USA,1984,1,short,4,10,21301.57,371.17,131.08,44.35,35.83,57.15,66.46,128.78,215.52,233.3,245.49,276.25,441.81,694.22,1081.23,1455.28,2331.35,3118.95,3837.44,6535.91,3525.34,3010.57,2120.39,890.18,755.67,134.5
USA,1984,1,short,4,11,60416.51,269,94.19,43.69,71.2,91.85,148.83,169.95,224.68,254.89,396.4,624.59,1318.15,2923.14,5629.72,8330.6,11404.22,11693.99,8660.2,8067.23,5230.02,2837.22,2185.49,651.73,575.79,75.94
USA,1984,1,short,4,12,39627.18,285.73,59.05,33.99,26.81,62.58,126.25,361.02,898.12,1361.9,1798.27,2205.24,3005.13,4085.68,4767.41,4946.53,4629.98,4221.48,3200.1,3551.92,2202.44,1349.48,1040.53,308.95,268.48,40.47
USA,1984,1,short,4,13,4366.95,16.01,9.97,4.7,9.37,23.76,29.35,45.43,41.63,68.03,100.18,129.24,144.98,259.11,359.95,509.74,621.47,657.11,619.79,717.14,440.29,276.86,199.34,77.51,69.52,7.99
USA,1984,1,short,4,14,17270.79,178.73,16.72,14.44,9.13,17.23,45.98,89.42,123.3,173.6,192.41,238.04,341.64,595.06,1175.57,1587.36,2349.7,2904.44,2946.87,4271.17,2363.25,1907.92,1420.91,487.01,423.69,63.32
